Question ID,Question,Answer,Question Image,Answer Image
A1,What is the capital of France?,Paris,,
A2,What is 2 + 2?,4,,
A3,Who painted the Mona Lisa?,Leonardo da Vinci,,
A4,What is the largest planet in our solar system?,Jupiter,,
A5,In what year did World War II end?,1945,,
B1,What is the chemical symbol for gold?,Au,,
B2,Who wrote 'Romeo and Juliet'?,William Shakespeare121223123,,
B3,What is the speed of light in a vacuum?,"299,792,458 meters per second",,
B4,What is the smallest country in the world?,Vatican City,,
B5,Who invented the telephone?,Alexander Graham Bell,,
C1,What is the hardest natural substance on Earth?,Diamond,,
C2,How many continents are there?,7,,
C3,What is the largest ocean on Earth?,Pacific Ocean,,
C4,Who was the first person to walk on the moon?,Neil Armstrong,,
C5,What is the currency of Japan?,Yen,,
D1,What is the tallest mountain in the world?,Mount Everest,,
D2,What gas do plants absorb during photosynthesis?,Carbon dioxide,,
D3,Who composed 'The Four Seasons'?,Antonio Vivaldi,,
D4,What is the largest mammal in the world?,Blue whale,,
D5,In which country would you find Machu Picchu?,Peru,,
E1,What is the smallest unit of matter?,Atom,,
E2,Who developed the theory of relativity?,Albert Einstein,,
E3,What is the capital of Australia?,Canberra,,
E4,What is the longest river in the world?,Nile River,,
E5,How many bones are in the adult human body?,206,,
