Question ID,Question,Answer,Question Image,Answer Image
A1,ما هي عاصمة المملكة العربية السعودية؟,الرياض,,
A2,ما هو البحر الذي يقع بين المملكة العربية السعودية واليمن؟,البحر الأحمر1111,,
A3,What is the capital of France?,Paris,,
A4,كم عدد الدول العربية؟,22 دولة,,
A5,In what year did World War II end?,1945,,
B1,من هو مؤلف كتاب ألف ليلة وليلة؟,مجهول,,
B2,ما هو أطول نهر في العالم؟,نهر النيل,,
B3,What is the speed of light in a vacuum?,"299,792,458 meters per second",,
B4,كم عدد الحروف الأبجدية العربية؟,28 حرف,,
B5,Who invented the telephone?,Alexander Graham Bell,,
C1,من هو أول خليفة في الإسلام؟,أبو بكر الصديق,,
C2,How many continents are there?,7,,
C3,ما هي أكبر دولة عربية من حيث المساحة؟,الجزائر,,
C4,Who was the first person to walk on the moon?,Neil Armstrong,,
C5,ما هي العملة الرسمية في الإمارات العربية المتحدة؟,الدرهم الإماراتي,,
D1,ما هو أعلى جبل في العالم العربي؟,جبل طوبقال,,
D2,What gas do plants absorb from the atmosphere during photosynthesis?,Carbon dioxide,,
D3,ما هو لون العلم الأردني؟,أسود وأبيض وأخضر وأحمر,,
D4,What is the largest mammal in the world?,Blue whale,,
D5,ما هي أقدم جامعة في العالم العربي؟,جامعة القرويين,,
E1,ما هي أكبر صحراء في العالم؟,الصحراء الكبرى,,
E2,Who developed the theory of relativity?,Albert Einstein,,
E3,من هو مخترع الجبر؟,الخوارزمي,,
E4,What is the longest river in the world?,Nile River,,
E5,ما هي أكثر لغة متحدث بها في العالم؟,الصينية (الماندرين),,
